"item_id","outcome","premise_status","confidence","notes"
"item_001","partially_addressed","not_applicable","2",""
"item_002","answered","refuted","3",""
"item_003","answered","supported","3",""
"item_004","partially_addressed","still_plausible","2",""
"item_005","answered","supported","3",""
"item_006","partially_addressed","supported","3",""
"item_007","partially_addressed","refuted","3",""
"item_008","answered","supported","3",""
"item_009","partially_addressed","still_plausible","1",""
"item_010","answered","supported","3",""
"item_011","partially_addressed","supported","2",""
"item_012","partially_addressed","still_plausible","2",""
"item_013","answered","refuted","3",""
"item_014","not_addressed","still_plausible","1",""
"item_015","answered","supported","3",""
"item_016","answered","supported","2",""
"item_017","partially_addressed","supported","2",""
"item_018","partially_addressed","supported","2",""
"item_019","partially_addressed","weakened","2",""
"item_020","answered","supported","3",""
"item_021","answered","supported","3",""
"item_022","answered","supported","3",""
"item_023","answered","refuted","2",""
"item_024","partially_addressed","still_plausible","2",""
"item_025","not_addressed","still_plausible","2",""
"item_026","answered","refuted","3",""
"item_027","partially_addressed","still_plausible","3",""
"item_028","answered","supported","3",""
"item_029","partially_addressed","still_plausible","3",""
"item_030","partially_addressed","still_plausible","2",""
"item_031","partially_addressed","supported","2",""
"item_032","answered","supported","3",""
"item_033","not_addressed","still_plausible","2",""
"item_034","partially_addressed","supported","2",""
"item_035","posed_but_open","still_plausible","3",""
"item_036","answered","supported","2",""
"item_037","not_addressed","still_plausible","2",""
"item_038","partially_addressed","supported","2",""
"item_039","answered","refuted","3",""
"item_040","answered","supported","3",""
"item_041","partially_addressed","weakened","2",""
"item_042","posed_but_open","still_plausible","2",""
"item_043","posed_but_open","still_plausible","3",""
"item_044","answered","supported","3",""
"item_045","answered","supported","3",""
"item_046","partially_addressed","weakened","2",""
"item_047","not_addressed","still_plausible","2",""
"item_048","answered","supported","3",""
"item_049","partially_addressed","weakened","2",""
"item_050","answered","supported","3",""
"item_051","partially_addressed","supported","2",""
"item_052","partially_addressed","still_plausible","2",""
"item_053","not_addressed","still_plausible","2",""
"item_054","answered","supported","2",""
"item_055","posed_but_open","still_plausible","2",""
"item_056","posed_but_open","still_plausible","3",""
"item_057","partially_addressed","not_applicable","2",""
"item_058","answered","supported","2",""
"item_059","partially_addressed","still_plausible","2",""
"item_060","answered","supported","2",""
"item_061","posed_but_open","still_plausible","3","摘要讲的都是另外的行星"
"item_062","partially_addressed","still_plausible","2",""
"item_063","posed_but_open","still_plausible","2",""
"item_064","answered","supported","2",""
"item_065","not_addressed","still_plausible","2",""
"item_066","not_addressed","still_plausible","3",""
"item_067","answered","supported","3",""
"item_068","partially_addressed","not_applicable","2",""
"item_069","posed_but_open","still_plausible","2",""
"item_070","answered","supported","2",""
"item_071","partially_addressed","still_plausible","2",""
"item_072","posed_but_open","still_plausible","2",""
"item_073","posed_but_open","still_plausible","2",""
"item_074","answered","supported","3",""
"item_075","posed_but_open","still_plausible","3",""
"item_076","answered","refuted","3",""
"item_077","posed_but_open","still_plausible","3",""
"item_078","partially_addressed","still_plausible","2",""
"item_079","posed_but_open","supported","2",""
"item_080","partially_addressed","supported","2",""
"item_081","answered","supported","2",""
"item_082","answered","not_applicable","2",""
"item_083","posed_but_open","still_plausible","2",""
"item_084","not_addressed","still_plausible","3",""
"item_085","posed_but_open","still_plausible","2",""
"item_086","partially_addressed","not_applicable","2",""
"item_087","answered","refuted","2",""
"item_088","partially_addressed","still_plausible","1",""
"item_089","partially_addressed","weakened","2",""
"item_090","partially_addressed","supported","2",""
